,Year,Founded,Location,Status,Coordinates,Population,Area (km2),Density (pop/km2),Comments,References
1,1949,Rafah Camp,Gaza Strip,UNRWA,31°16′58.87″N,125304,n.a.,n.a.,,[8]
3,1948,Jabalia Camp,Gaza Strip,UNRWA,31°32′20.81″N,113990,1.4,"81,421",,[10]
4,1949,Khan Yunis Camp,Gaza Strip,UNRWA,31°21′3″N,87816,0.549,"159,956",,[11]
5,1948,Al-Shati,Gaza Strip,UNRWA,31°31′55.91″N,85628,0.52,"164,669",,[13]
6,1949,Nuseirat Camp,Gaza Strip,UNRWA,31°26′51.56″N,80194,n.a.,n.a.,,[14]
12,1949,Bureij,Gaza Strip,UNRWA,31°26′22.31″N,43330,0.529,"81,909",,[21]
15,1949,Maghazi (camp),Gaza Strip,UNRWA,31°25′16.89″N,31329,0.6,"52,215",,[26]
19,1948,Deir al-Balah Camp,Gaza Strip,UNRWA,31°25′33″N,25569,0.16,"159,806",,[30]
